time, name, value, enum, units
"2019-03-26 16:41:05.927","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:05.927","HighPressure","625.000000","","psi"
"2019-03-26 16:41:05.927","LowPressure","31.000000","","psi"
"2019-03-26 16:41:06.028","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:06.028","TotalBarrels","0","","bbl"
"2019-03-26 16:41:07.927","EngineRPM","0","","RPM"
"2019-03-26 16:41:07.927","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:07.927","HighPressure","625.000000","","psi"
"2019-03-26 16:41:07.927","LowPressure","31.000000","","psi"
"2019-03-26 16:41:08.128","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:08.128","TotalBarrels","0","","bbl"
"2019-03-26 16:41:10.027","EngineRPM","0","","RPM"
"2019-03-26 16:41:10.027","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:10.027","HighPressure","625.000000","","psi"
"2019-03-26 16:41:10.027","LowPressure","31.000000","","psi"
"2019-03-26 16:41:10.228","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:10.228","TotalBarrels","0","","bbl"
"2019-03-26 16:41:12.127","EngineRPM","250","","RPM"
"2019-03-26 16:41:12.127","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:12.127","HighPressure","625.000000","","psi"
"2019-03-26 16:41:12.127","LowPressure","31.000000","","psi"
"2019-03-26 16:41:12.328","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:12.328","TotalBarrels","0","","bbl"
"2019-03-26 16:41:14.227","EngineRPM","250","","RPM"
"2019-03-26 16:41:14.227","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:14.227","HighPressure","625.000000","","psi"
"2019-03-26 16:41:14.227","LowPressure","31.000000","","psi"
"2019-03-26 16:41:14.428","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:14.428","TotalBarrels","0","","bbl"
"2019-03-26 16:41:16.327","EngineRPM","250","","RPM"
"2019-03-26 16:41:16.327","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:16.327","HighPressure","625.000000","","psi"
"2019-03-26 16:41:16.327","LowPressure","31.000000","","psi"
"2019-03-26 16:41:16.528","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:16.528","TotalBarrels","0","","bbl"
"2019-03-26 16:41:18.327","EngineRPM","250","","RPM"
"2019-03-26 16:41:18.327","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:18.327","HighPressure","625.000000","","psi"
"2019-03-26 16:41:18.327","LowPressure","31.000000","","psi"
"2019-03-26 16:41:18.528","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:18.528","TotalBarrels","0","","bbl"
"2019-03-26 16:41:20.427","EngineRPM","250","","RPM"
"2019-03-26 16:41:20.427","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:20.427","HighPressure","625.000000","","psi"
"2019-03-26 16:41:20.427","LowPressure","31.000000","","psi"
"2019-03-26 16:41:20.628","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:20.628","TotalBarrels","0","","bbl"
"2019-03-26 16:41:22.427","EngineRPM","250","","RPM"
"2019-03-26 16:41:22.427","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:22.427","HighPressure","625.000000","","psi"
"2019-03-26 16:41:22.427","LowPressure","31.000000","","psi"
"2019-03-26 16:41:22.728","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:22.728","TotalBarrels","0","","bbl"
"2019-03-26 16:41:24.527","EngineRPM","250","","RPM"
"2019-03-26 16:41:24.527","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:24.527","HighPressure","625.000000","","psi"
"2019-03-26 16:41:24.527","LowPressure","31.000000","","psi"
"2019-03-26 16:41:24.828","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:24.828","TotalBarrels","0","","bbl"
"2019-03-26 16:41:26.627","EngineRPM","250","","RPM"
"2019-03-26 16:41:26.627","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:26.627","HighPressure","625.000000","","psi"
"2019-03-26 16:41:26.627","LowPressure","31.000000","","psi"
"2019-03-26 16:41:26.928","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:26.928","TotalBarrels","0","","bbl"
"2019-03-26 16:41:28.727","EngineRPM","250","","RPM"
"2019-03-26 16:41:28.727","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:28.727","HighPressure","625.000000","","psi"
"2019-03-26 16:41:28.727","LowPressure","31.000000","","psi"
"2019-03-26 16:41:29.028","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:29.028","TotalBarrels","1","","bbl"
"2019-03-26 16:41:30.827","EngineRPM","250","","RPM"
"2019-03-26 16:41:30.827","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:30.827","HighPressure","625.000000","","psi"
"2019-03-26 16:41:30.827","LowPressure","31.000000","","psi"
"2019-03-26 16:41:31.128","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:31.128","TotalBarrels","1","","bbl"
"2019-03-26 16:41:32.827","EngineRPM","250","","RPM"
"2019-03-26 16:41:32.827","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:32.827","HighPressure","625.000000","","psi"
"2019-03-26 16:41:32.827","LowPressure","31.000000","","psi"
"2019-03-26 16:41:33.128","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:33.128","TotalBarrels","1","","bbl"
"2019-03-26 16:41:34.927","EngineRPM","250","","RPM"
"2019-03-26 16:41:34.927","OutletTemperature","50.000000","","fahrenheit"
"2019-03-26 16:41:34.927","HighPressure","625.000000","","psi"
"2019-03-26 16:41:34.927","LowPressure","31.000000","","psi"
"2019-03-26 16:41:35.228","FlowRate","2.500000","","BPM"
"2019-03-26 16:41:35.228","TotalBarrels","1","","bbl"
