time,time,EngineRPM,OutletTemperature,HighPressure,LowPressure,FlowRate
2018-11-07 16:35:04.531,2018-11-07 16:35:04.531,,,,,3.1
2018-11-07 16:35:05.131,2018-11-07 16:35:05.131,,,,,3.1
2018-11-07 16:35:05.731,2018-11-07 16:35:05.731,,,,,3.1
2018-11-07 16:35:06.331,2018-11-07 16:35:06.331,,,,,3.1
2018-11-07 16:35:06.831,2018-11-07 16:35:06.831,,,,,3.1
2018-11-07 16:35:07.431,2018-11-07 16:35:07.431,,,,,3.1
2018-11-07 16:35:08.031,2018-11-07 16:35:08.031,,,,,3.1
2018-11-07 16:35:08.531,2018-11-07 16:35:08.531,,,,,3.1
2018-11-07 16:35:09.131,2018-11-07 16:35:09.131,,,,,3.1
2018-11-07 16:35:09.731,2018-11-07 16:35:09.731,,,,,3.1
2018-11-07 16:35:10.331,2018-11-07 16:35:10.331,,,,,3.1
2018-11-07 16:35:10.931,2018-11-07 16:35:10.931,,,,,3.1
2018-11-07 16:35:11.431,2018-11-07 16:35:11.431,,,,,3.1
2018-11-07 16:35:11.931,2018-11-07 16:35:11.931,,,,,3.1
2018-11-07 16:35:12.531,2018-11-07 16:35:12.531,,,,,3.1
2018-11-07 16:35:13.131,2018-11-07 16:35:13.131,,,,,3.1
2018-11-07 16:35:13.731,2018-11-07 16:35:13.731,,,,,3.1
2018-11-07 16:35:14.331,2018-11-07 16:35:14.331,,,,,3.1
2018-11-07 16:35:14.931,2018-11-07 16:35:14.931,,,,,3.1
2018-11-07 16:35:15.431,2018-11-07 16:35:15.431,,,,,3.1
2018-11-07 16:35:16.031,2018-11-07 16:35:16.031,,,,,3.1
2018-11-07 16:35:16.531,2018-11-07 16:35:16.531,,,,,3.1
2018-11-07 16:35:17.131,2018-11-07 16:35:17.131,,,,,3.1
2018-11-07 16:35:17.631,2018-11-07 16:35:17.631,,,,,3.1
2018-11-07 16:35:18.231,2018-11-07 16:35:18.231,,,,,3.1
2018-11-07 16:35:18.731,2018-11-07 16:35:18.731,,,,,3.1
2018-11-07 16:35:19.331,2018-11-07 16:35:19.331,,,,,3.1
2018-11-07 16:35:19.931,2018-11-07 16:35:19.931,,,,,3.1
2018-11-07 16:35:20.431,2018-11-07 16:35:20.431,,,,,3.1
2018-11-07 16:35:21.031,2018-11-07 16:35:21.031,,,,,3.1
2018-11-07 16:35:21.531,2018-11-07 16:35:21.531,,,,,3.1
2018-11-07 16:35:22.031,2018-11-07 16:35:22.031,,,,,3.1
2018-11-07 16:35:22.631,2018-11-07 16:35:22.631,,,,,3.1
2018-11-07 16:35:23.131,2018-11-07 16:35:23.131,,,,,3.1
2018-11-07 16:35:23.631,2018-11-07 16:35:23.631,,,,,3.1
2018-11-07 16:35:24.231,2018-11-07 16:35:24.231,,,,,3.1
2018-11-07 16:35:24.831,2018-11-07 16:35:24.831,,,,,3.1
2018-11-07 16:35:25.331,2018-11-07 16:35:25.331,,,,,3.1
2018-11-07 16:35:25.931,2018-11-07 16:35:25.931,,,,,3.1
2018-11-07 16:35:26.431,2018-11-07 16:35:26.431,,,,,3.1
2018-11-07 16:35:27.031,2018-11-07 16:35:27.031,,,,,3.1
2018-11-07 16:35:27.531,2018-11-07 16:35:27.531,,,,,3.1
2018-11-07 16:35:28.131,2018-11-07 16:35:28.131,,,,,3.1
2018-11-07 16:35:28.631,2018-11-07 16:35:28.631,,,,,3.1
2018-11-07 16:35:29.131,2018-11-07 16:35:29.131,,,,,3.1
2018-11-07 16:35:29.631,2018-11-07 16:35:29.631,,,,,3.1
2018-11-07 16:35:30.131,2018-11-07 16:35:30.131,,,,,3.1
2018-11-07 16:35:30.731,2018-11-07 16:35:30.731,,,,,3.1
2018-11-07 16:35:31.231,2018-11-07 16:35:31.231,,,,,3.1
2018-11-07 16:35:31.831,2018-11-07 16:35:31.831,,,,,3.1
2018-11-07 16:35:32.431,2018-11-07 16:35:32.431,,,,,3.1
2018-11-07 16:35:33.031,2018-11-07 16:35:33.031,,,,,3.1
2018-11-07 16:35:33.531,2018-11-07 16:35:33.531,,,,,3.1
2018-11-07 16:35:34.131,2018-11-07 16:35:34.131,,,,,3.1
2018-11-07 16:35:34.731,2018-11-07 16:35:34.731,,,,,3.1
2018-11-07 16:35:35.331,2018-11-07 16:35:35.331,,,,,3.1
2018-11-07 16:35:35.831,2018-11-07 16:35:35.831,,,,,3.1
2018-11-07 16:35:36.331,2018-11-07 16:35:36.331,,,,,3.1
2018-11-07 16:35:36.931,2018-11-07 16:35:36.931,,,,,3.1
2018-11-07 16:35:37.431,2018-11-07 16:35:37.431,,,,,3.1
2018-11-07 16:35:38.032,2018-11-07 16:35:38.032,,,,,3.1
2018-11-07 16:35:38.631,2018-11-07 16:35:38.631,,,,,3.1
2018-11-07 16:35:39.231,2018-11-07 16:35:39.231,,,,,3.1
2018-11-07 16:35:39.831,2018-11-07 16:35:39.831,,,,,3.1
2018-11-07 16:35:40.431,2018-11-07 16:35:40.431,,,,,3.1
